Date;News_Article;Close;Change
2014-01-01;" or twice the amount previously thought may have spewed from the crippled Fukushima No. 1 nuclear power plant after the March 11 disaster scientists say.""Hong Kong Airlines Ltd has threatened to cancel its order for 10 A380s with Airbus - a value of $3.8 billion - over Europe's decision to make flights pay for their carbon emissions. ""We cannot do something which is against our country's interests,"" it quoted president Yang Jianhong as saying. North Korea: What does 240,000 metric tons of food mean? ";38124500;-0,012011532
2014-01-02;"AntiSec dumps Monsanto data on the Web: ""Your continued attack on the worlds food supply, as well as the health of those who eat it, has earned you our full attention. Your crimes against humanity are too many to name on one page.""Legalization gains support in Central America: Guatemalan President Otto Perez has invigorated the drug legalization debate in Central America, where leaders are under pressure to contain staggering crime rates and battle violent drug cartels.EU: Google's new privacy policy is illegalSouth Africans try poisoning horns to save rhinos Accusations of witchcraft are part of growing pattern of child abuse in UK - ""African groups warn that boom in pentecostal churches and belief in 'kindoki' are causing more children to suffer in silence""These Are The World's Most Powerful Mercenary ArmiesEngland's police forces are to be mostly privatised in an attempt to save moneyElections Canada begins investigations on 31,000 complaints regarding potential electoral fraud by the Conservative Party during the most recent election.Overfishing Leaves Swaths of Mediterranean Barren, an Unprecedented Study Concludes  - ""We found a huge gradient, an enormous contrast. Off Spain &amp; Italy, we found the largest fish biomass in the Mediterranean.  Unfortunately, around Turkey &amp; Greece, the waters are bare.""Police Censor Google, Facebook and 8,000 Other Sites by AccidentUK photographer Paul Conroy:  ""Syria 'is slaughterhouse"" - Says attacks on the city of Homs were ""a systematic slaughter of the civilian population""Oceans acidifying at fastest rate in 300 million years.Russian Election: Workers 'Paid To Vote Putin'As Myanmar moves ahead with a set of reforms that have included the release of political prisoners, the country's government is also opening up its media. In some cases they've ended pre-publication censorship entirely and in others they've greatly reduced the restrictionsPeeing Frenchman sues Google for making him 'laughing stock'Cairos hijab-free zones trigger cries of hypocrisy ... Feeling besieged, this segment seems willing to accept and even embrace the kind of steps that would prompt a discrimination lawsuit and cries of Islamaphobia if they were attempted in the US or Europe Furniture giant Ikea paid for secret police files to spy on ""complaining"" customers and ""suspicious"" staff at stores in France.Community reaction to 'destructive' war on marijuana warningMexico adopts surveillance legislation that will grant the police warrantless access to real time user location dataOrgan Thieves Busted in UkraineMuslims in Germany - Study Hints that Mutual Suspicion Is Slowing IntegrationSomali al-Shabab base captured outside Mogadishu:  A major base of Somalia's al-Shabab militants has been captured on the outskirts of the capital by government troops backed by African Union forces.Novartis takes the Indian government to court over its patent law, in a move that threatened access to affordable medicines.Russian Prime Minister Vladimir Putin on Friday said his country had no special relationship with the Syrian regime, adding that it was up to the Syrians to decide who should run their countryA Global Icon is Reborn: Londoners meet city's new $36,000 per seat red bus";38588001;0,003745734
2014-01-03;Police are linked to blacklist of construction workers who were considered leftist or troublesome. The blacklist destroyed people's lives, broke up families, ensured that people were unable to earn a living. It devastated people year after year. Australian Muslim women must show faces for identity checks under new lawCosta Rica tries to go smoke-free: Congress approved sweeping smoking bans. Philip Morris and British American Tobacco are not happyLast Monday, in a national TV interview, the candidate that public opinion polls have leading the French presidential race called for a 75 percent super tax on all individual income over $1 million euros, the equivalent of about $1.33 million.;38444000;-0,009456108
2014-01-04;"Iranian Ayatollah: Nuclear Weapons ""Grave Sin, Senseless, Destructive, Dangerous.""South African Health Minister not only denied the proven link between AIDS and HIV, but also featured ""garlic, lemons and African potatoes"" as treatment for AIDS :: As of 2011, 40% of South Africans had STDs and 25% had AIDS.Iranian human rights lawyer, colleague of Shirin Ebadi, sentenced to 18 years after being arrested for fourth time in six years. Abdolfattah Soltani was charged i.a. with ""accepting an unlawful award"" for getting the Nuremburg International Human Rights AwardCentral America is starting a debate on decriminalizing drugs - Biden visits Mexico and Honduras amid drug debateChancellor Angela Merkel has agreed with other conservative European leaders to help President Nicolas Sarkozy in the French election campaign by spurning his Socialist challenger Franois Hollande, SPIEGEL has learned. Merkel's interference is causing tension in her own government. India bans cotton exports effective immediatelySecret footage showing 'torture' of Syrians in Homs hospital Russia election 'clearly skewed' for Putin - OSCEPeople fleeing the Syrian city of Homs tell the BBC that security forces are committing atrocities there, including summary executions.Arabian Nightmare: Three men jailed indefinitely in Saudi Arabia for renting the wrong flat.An unexpected exercise in globalization: South-African farmers have started heeding the call from the government of Georgia to come to the former Soviet republicThirteen French officers 'captured by Syrian Army' The Vast Majority Of Israelis Are Against A Unilateral Strike Against Iran - only one in five Israelis, or 19 percent, favor unilateral military strikes against Iran's nuclear facilities without Washington's approval.Brazil has declared a fresh ""currency war"" on the US and Europe, extending a tax on foreign borrowings and threatening further capital controls in an effort to protect the country's struggling manufacturers.Swedish hospital seeks new 'hot' nurses - A hospital in Stockholm has published a job advertisement trying to attract nurses who are both qualified and ""TV-series hot"" in what has been explained as an ""attempt to catch peoples attention"".Heroes of Japan's Nuclear Disaster All but Forgotten Smart concrete: Iran makes some of the worlds toughest concrete. It can cope with earthquakes and, perhaps, bunker-busting bombsSyrian forces 'carrying out mass arrests and executions' in HomsMoscow Protesters Denounce Putin VictoryStudent faces prison for speaking out in royalist Thailand";38811001;-0,013960671
2014-01-05;" who faces up to 15 years in jail for 'having opinions' highlights country's harsh pro-monarchy laws""";39360500;0,000393926
2014-01-06;Appeal Lost - UK ISPs will have to send warning letters to alleged illegal file downloaders, as well as potentially cutting users off89% of the global population now has access to safe drinking water.How Goldman Sachs screwed GreeceIran to allow UN nuclear inspectors into military siteMyanmar has lowered its firewalls, opening access to social-media sites such as Facebook and TwitterBrazil's economy overtakes UK to become world's sixth largest.Is Somalia on the brink of peace? Loss of key city is latest defeat for once-powerful Al Shabaab Islamists.Singapore maids to finally get one day off per weekStarving Iran Wont Free It: There's an old saying, attributed to the British Foreign Office in colonial days: Keep the Persians hungry, and the Arabs fat.Slovakians vote to name a bridge Chuck Norris.Penguin escaped from Tokyo zoo.Eastern Libya declares semi- autonomyHamas rules out military support for Iran in any war with IsraelTwin blasts hit Egypt gas pipeline:  The main gas pipeline sending supplies from Egypt to Israel and Jordan was attacked on Monday, the 13th such attack since long-time President Hosni Mubarak was ousted in February 2011.;39345001;0,016390954
2014-01-07;Eastern Libya pulls away from central governmentGay chilean man remains in a coma after brutal ;38710499;-0,001032271
2014-01-08;"French PM Prompts Religious Row - Muslim &amp; Jewish groups have reacted with dismay after French PM Francois Fillon suggested the religious slaughter of animals was out of dateBBC News - Saudi diplomat shot dead in BangladeshAustralia's mining boom placing Great Barrier Reef at risk, UN warns: ";38750500;-0,001828858
2014-01-09;"Man reports CP in music download and is banned from seeing his own daughter aloneA youth has burned himself to death in southwestern China, the third self-immolation in three days in protest of China's policies in TibetChinese Businessmen Paying $80,000 to Hunt Polar Bears in Canada - From one of the 'I Love Hunting Club's' brochures:  ""The polar bear is the most extreme of natural enemies in North America. The huge male bear specimens are the most majestic, most beautiful of hunting prizes!""107 percent turnout? Another side to Russia's vote ---  Putin does better in Chechnya (99.82%) than Assad in SyriaIn Chechnya, 107% Turnout for Putin - Obvious ballot-stuffing spotted in regionBrazil has become the sixth-biggest economy in the worldTwo Murdoch reporters feared to be in suicide bids: ";38821499;-0,012100211
2014-01-10;Huge solar flare's magnetic storm may disrupt satellites and power grids.A suicide bomber kills herself and five police officers in the troubled Russian region of Dagestan, weeks after security forces kill her husband, prosecutors say.How Three Germans Are Cloning The Web --- ;39297001;-0,000254357
2014-01-11;" one of three brothers who do not have ideas. They just copy others. And make billions""Afghan women trapped in tribal court system: unfairly imprisoned, traded like property and often abused every step of the way. Norway: Breivik charged with Terror and 1st degree murder. Prosecution asks for forced psychiatric treatment A hospital employee in Homs says Syrian civilians and rebel fighters are being tortured there by medical staff and members of the security forces.Israel stunned by India's ban on defense contracts after bribing scandalKim Jong-eun visits the narrowest part of the DMZ, coming within 100m of S. Korean troops while touring the Joint Security AreaMid-size asteroid won't hit Earth in 2013: NASASpiders spin whole fields of webs to escape flooding in AustraliaFather banned from being alone with his daughter after telling police he accidentally accessed child porn while attempting to download music from the internetTwo Murdoch journalists reportedly attempt suicide as pressure mountsUNESCO will not expel Syria from human rights committee, according to draft resolutionSpeculation Blamed for Global Food Price WeirdnessSouth Africa: Kruger park rangers kill suspected rhino poacher -- ";39306999;0,007923432
2014-01-12;"The desecration of an Aboriginal burial site in Australia with swastikas and the letters KKK is condemned as ""disgusting"" by officials.The 51% Tragedy: A Majority of Young Greek Workers Are Now Unemployed";38998001;-0,019238966
2014-01-13;Spain's youth unemployment surges above 50%.Riot police use tear gas to control student protest in MontrealHomelessness in the UK rises by 14% in one year. Cameroon elephant slaughter: Park cannot cope with $2 million anti-poaching budget when ivory is $1000-$1500 per kg in Asia with each tusk weighing 10kgSolving War Crimes With Wristbands: The Arrogance of 'Kony 2012'German Internet Community Cries Foul over Google News Law -- Germany's Internet community, gathered at the world's biggest high-tech fair, was up in arms Thursday at a draft law forcing Google and other similar sites to pay media firms for content.Strong solar storm heading for EarthAFP: Death-row inmates 'main source of organs in China'Dugongs cruelly slaughtered in illegal meat trade (Australia);39763000;-0,007785427
2014-01-14;" Presses U.S. On Iran: """"Israeli Prime Minister Benjamin Netanyahu has forcefully pushed President Obama to take a tougher stance on Iran. Critics say he risks alienating an ally.""""""German Health Insurers Have $26 Billion Cash, Sueddeutsche Says - ""Politicians are suggesting lower premiums or abolishing payments for medication, while insurers want to keep the money as reserve for years with deficits""Khamenei hails Obama's remarks against Iran strikeJapans Nuclear Energy Industry Nears Shutdown - All but 2 of its 54 commercial reactors have gone off line since the disaster a year ago.  With the last operating reactor to be idled, Japan  once a world leader in atomic energy  will shut down an industry that generated a 1/3 of its electricity.UK 'Must Plan for Euro Collapse' - Ministers should draw up plans to deal with a break-up of the eurozone ""as a matter of urgency"", a committee of MPs &amp; peers has warnsNigeria Rescue Bid: Kidnapped Briton &amp; Italian killed - ";40075001;0,002664674
2014-01-15;Tunisian University Denies Muslims the Right To Worship. Clashes Erupt Many Hurt.Syria's deputy oil minister defects from Assad4.6 magnitude earthquake strikes Haiti;39968498;-0,016898108
2014-01-16;"U.S. adds Vatican to money-laundering 'concern' listJapanese whalers cut season shortJapan shutting down nuclear power industryChinese state media thanks women for being hot ---  It's hard to think of a more awkward way for a media outlet to celebrate International Women's DayIn India, battle continues over Hindu temple's riches:  The vaults at a temple in Kerala have yielded gold and gems worth an estimated $21 billion. A lawsuit has raised a thorny question: Who owns the treasure?4 more generals defect from Syrian army &amp; join uprising against President Bashar al-AssadMass pro-democracy protest rocks BahrainAccording to a recent court ruling, German hotels have the right to turn away far-right extremists for their political views. The case struggled to reconcile the principles of freedom and equality. Smartphone apps are sending your data to ChinaIn Russia's largest cities, government employees are given sirens and blue lights that give them the right to disobey traffic signals and barrel through traffic. But a small and growing protest movement is challenging them and their special privilegeResolute, Nunavut, Canada loses Chinese polar bear hunt - Business bows to pressure from international media deriding hunt of 'endangered' bearsBin Ladens Wives Stories of Post-9/11 Life Casts More Suspicion on Pakistan  Tens of Thousands Protest in Bahrain: Down, Down Hamad - Bahrain protesters boost pressures on king; sporadic clashesJapan Earthquake: One Year Later [pics]Five murdered Irish emigrants will be reburied in a new grave today";40655499;0,006735424
2014-01-17;" to force him to miss a Katyn massacre memorial service.""""Girls only allowed to access Facebook if they are wearing burkas!"" - Afghans lampoon clerics over women guidelinesJapan ends its whaling season with less than a third of its original target, as ships head home from the Antarctic Ocean.Four Syrian generals defect to opposition as desertions gather pace: The defection brings the number of senior Syrian officers who have defected to seven, rebels say.";40383499;0,010762512
2014-01-18;Far right hardcore 'willing to prepare for armed conflict'With tensions high in Mideast, evangelical Christians tighten embrace of IsraelLGBT rights window closing in Egypt: Revolutionary optimism retreats as Islamic parties take power.;39953499;0,004651873
2014-01-19;"Bradley Manning's treatment was cruel and inhuman, UN torture chief rulesHonduras Invites Colombia and Mexico to Join Drug Legalization Debate U.S. Faces Challenge to ""Drug War"" as Latin American Countries Mull Decriminalization, LegalizationAfghan civilian deaths spark calls for U.S. exitSwiss voters reject 6 weeks of paid vacationIn Kenya, a group of young Maasai warriors formed a cricket team with big hopes: to promote healthy living, to spread awareness about HIV/AIDS and women's issues, and ultimately to become role models in their community and ambassadors for both the Maasai and Kenya.Afghans vow vengeance for soldier's killing spree Kim Dotcom: Many Megaupload Users at the US Gov'tSouth Korea's Unification Plan: 'No One Wants to Just Swallow Upthe North' --- Is it possible that Korea will ever reunite? People in the South firmly believe it will happen -- and are even starting to save up money for the massive costs it would entailSarkozy threatens 'to close' France's bordersFrances Sarkozy vows to pull France out of Europes 25-nation visa-free zone unless border controls are tightened to prevent illegal immigrants from sneaking in to find jobsRioter who attacked Malaysian student during London Riots jailed for seven years";39768501;0,013804267
2014-01-20;" is painted on a hidden wall in a cavity in Florence's town hall where it has remained unseen for five centuries.""'This Debate Will No Longer be Suppressed': Legalizing Drugs Breaks Into the Mainstream Christians have no right to wear cross at work, says Government - TelegraphAfghans 'out of patience' after Kandahar massacreChinese Mighty Dragon doomed to breathe Russian fireA newly-built section of a high-speed rail line has collapsed in China's central Hubei province following heavy rain, state media reports.The 1% Recovery -- While the financial crisis hurt the top 1 percent more than anyone else, their recovery has been spectacular -- while everyone else has languished.UK Wants Renewable Energy Target Scrapped - ";39227001;0,020606218
2014-01-21;UK Foreign Secretary sued over US drone strikes in PakistanThe scientist who blew the whistle on stratospheric ozone destruction (won a nobel prize in 1995) died this weekend.China may send its first woman into space;38435001;0,008620629
